date,ticker,price
2024-01-01,AAPL,149.47707904122024
2024-01-02,AAPL,149.17693096299587
2024-01-03,AAPL,149.18236593950877
2024-01-04,AAPL,148.64493651770727
2024-01-05,AAPL,149.91458500326664
2024-01-06,AAPL,148.58143279683304
2024-01-07,AAPL,148.6849225324181
2024-01-08,AAPL,147.52359801811883
2024-01-09,AAPL,147.77395792468045
2024-01-10,AAPL,146.9447770139182
2024-01-11,AAPL,148.80909749562593
2024-01-12,AAPL,149.83409435011566
2024-01-13,AAPL,148.09785347520497
2024-01-14,AAPL,147.63088359922818
2024-01-15,AAPL,148.362795335675
2024-01-16,AAPL,145.50129712863227
2024-01-17,AAPL,146.29765310175884
2024-01-18,AAPL,146.95640893962403
2024-01-19,AAPL,147.05454147263313
2024-01-20,AAPL,145.59014875849445
